Date,Open,High,Low,Close*,Adj Close**,Volume
"Mar 01, 2015",2105.23,2117.52,2039.69,2067.89,2067.89,76675850000
"Feb 01, 2015",1996.67,2119.59,1980.9,2104.5,2104.5,68775560000
"Jan 01, 2015",2058.9,2072.36,1988.12,1994.99,1994.99,77330040000
"Dec 01, 2014",2065.78,2093.55,1972.56,2058.9,2058.9,80743820000
"Oct 31, 2014",2018.21,2075.76,2001.01,2067.56,2067.56,63600190000
"Sep 30, 2014",1971.44,2018.19,1820.66,2018.05,2018.05,93714040000
"Aug 31, 2014",2004.07,2019.26,1964.04,1972.29,1972.29,66706000000
"Jul 31, 2014",1929.8,2005.04,1904.78,2003.37,2003.37,58131140000
"Jun 30, 2014",1962.29,1991.39,1930.67,1930.67,1930.67,66524690000
"May 31, 2014",1923.87,1968.17,1915.98,1960.23,1960.23,63283380000
"Apr 30, 2014",1884.39,1924.03,1859.79,1923.57,1923.57,63623630000
"Mar 31, 2014",1873.96,1897.28,1814.36,1883.95,1883.95,71595810000
"Mar 01, 2014",1857.68,1883.97,1834.44,1872.34,1872.34,71885030000
"Feb 01, 2014",1782.68,1867.92,1737.92,1859.45,1859.45,69725590000
"Jan 01, 2014",1845.86,1850.84,1770.45,1782.59,1782.59,75871910000
"Dec 01, 2013",1806.55,1849.44,1767.99,1848.36,1848.36,64958820000
"Oct 31, 2013",1758.7,1813.55,1746.2,1805.81,1805.81,63628190000
"Sep 30, 2013",1682.41,1775.22,1646.47,1756.54,1756.54,76647400000
"Aug 31, 2013",1635.95,1729.86,1633.41,1681.55,1681.55,66174410000
"Jul 31, 2013",1689.42,1709.67,1627.47,1632.97,1632.97,64802810000
"Jun 30, 2013",1609.78,1698.78,1604.57,1685.73,1685.73,68106820000
"May 31, 2013",1631.71,1654.19,1560.33,1606.28,1606.28,74946790000
"Apr 30, 2013",1597.55,1687.18,1581.28,1630.74,1630.74,76447250000
"Mar 31, 2013",1569.18,1597.57,1536.03,1597.57,1597.57,77098000000
"Mar 01, 2013",1514.68,1570.28,1501.48,1569.19,1569.19,68527110000
"Feb 01, 2013",1498.11,1530.94,1485.01,1514.68,1514.68,69273480000
"Jan 01, 2013",1426.19,1509.94,1426.19,1498.11,1498.11,75848510000
"Dec 01, 2012",1416.34,1448,1398.11,1426.19,1426.19,66388180000
"Oct 31, 2012",1412.2,1434.27,1343.35,1416.18,1416.18,71489310000
"Sep 30, 2012",1440.9,1470.96,1403.28,1412.16,1412.16,71752320000
"Aug 31, 2012",1406.54,1474.51,1396.56,1440.67,1440.67,69784280000
"Jul 31, 2012",1379.32,1426.68,1354.65,1406.58,1406.58,70283810000
"Jun 30, 2012",1362.33,1391.74,1325.41,1379.32,1379.32,73103810000
"May 31, 2012",1309.87,1363.46,1266.74,1362.16,1362.16,81582440000
"Apr 30, 2012",1397.86,1415.32,1291.98,1310.33,1310.33,86920490000
"Mar 31, 2012",1408.47,1422.38,1357.38,1397.91,1397.91,74761710000
"Mar 01, 2012",1365.9,1419.15,1340.03,1408.47,1408.47,83899660000
"Feb 01, 2012",1312.45,1378.04,1312.45,1365.68,1365.68,78385710000
"Jan 01, 2012",1258.86,1333.47,1258.86,1312.41,1312.41,79567560000
"Dec 01, 2011",1246.91,1269.37,1202.37,1257.6,1257.6,74742430000
"Oct 31, 2011",1251,1277.55,1158.66,1246.96,1246.96,84275050000
"Sep 30, 2011",1131.21,1292.66,1074.77,1253.3,1253.3,98063670000
"Aug 31, 2011",1219.12,1229.29,1114.22,1131.42,1131.42,102786820000
"Jul 31, 2011",1292.59,1307.38,1101.54,1218.89,1218.89,108419170000
"Jun 30, 2011",1320.64,1356.48,1282.86,1292.28,1292.28,81102170000
"May 31, 2011",1345.2,1345.2,1258.07,1320.64,1320.64,86122730000
"Apr 30, 2011",1365.21,1370.58,1311.8,1345.2,1345.2,81708980000
"Mar 31, 2011",1329.48,1364.56,1294.7,1363.61,1363.61,77364810000
"Mar 01, 2011",1328.64,1332.28,1249.05,1325.83,1325.83,89507640000
"Feb 01, 2011",1289.14,1344.07,1289.14,1327.22,1327.22,59223660000
"Jan 01, 2011",1257.62,1302.67,1257.62,1286.12,1286.12,92164940000
"Dec 01, 2010",1186.6,1262.6,1186.6,1257.64,1257.64,80984530000
"Oct 31, 2010",1185.71,1227.08,1173,1180.55,1180.55,87151070000
"Sep 30, 2010",1143.49,1196.14,1131.87,1183.26,1183.26,89536270000
"Aug 31, 2010",1049.72,1157.16,1049.72,1141.2,1141.2,79589450000
"Jul 31, 2010",1107.53,1129.24,1039.7,1049.33,1049.33,85738250000
"Jun 30, 2010",1031.1,1120.95,1010.91,1101.6,1101.6,94778110000
"May 31, 2010",1087.3,1131.23,1028.33,1030.71,1030.71,110106750000
"Apr 30, 2010",1188.58,1205.13,1040.78,1089.41,1089.41,127662780000
"Mar 31, 2010",1171.23,1219.8,1170.69,1186.69,1186.69,116741910000
"Mar 01, 2010",1105.36,1180.69,1105.36,1169.43,1169.43,103683550000
"Feb 01, 2010",1073.89,1112.42,1044.5,1104.49,1104.49,84561340000
"Jan 01, 2010",1116.56,1150.45,1071.59,1073.87,1073.87,90947580000
"Dec 01, 2009",1098.89,1130.38,1085.89,1115.1,1115.1,89515330000
"Oct 31, 2009",1036.18,1113.69,1029.38,1095.63,1095.63,84981530000
"Sep 30, 2009",1054.91,1101.36,1019.95,1036.19,1036.19,113410990000
"Aug 31, 2009",1019.52,1080.15,991.97,1057.08,1057.08,112295490000
"Jul 31, 2009",990.22,1039.47,978.51,1020.62,1020.62,116059270000
"Jun 30, 2009",920.82,996.68,869.32,987.48,987.48,106635790000
"May 31, 2009",923.26,956.23,888.86,919.32,919.32,112653150000
"Apr 30, 2009",872.74,930.17,866.1,919.14,919.14,131614940000
"Mar 31, 2009",793.59,888.7,783.32,872.81,872.81,138855320000
"Mar 01, 2009",729.57,832.98,666.79,797.87,797.87,161843640000
"Feb 01, 2009",823.09,875.01,734.52,735.09,735.09,124492210000
"Jan 01, 2009",902.99,943.85,804.3,825.88,825.88,112090640000
"Dec 01, 2008",888.61,918.85,815.69,903.25,903.25,112884470000
"Oct 31, 2008",968.67,1007.51,741.02,896.24,896.24,115660210000
"Sep 30, 2008",1164.17,1167.03,839.8,968.75,968.75,159823030000
"Aug 31, 2008",1287.83,1303.04,1106.42,1166.36,1166.36,140007320000
"Jul 31, 2008",1269.42,1313.15,1247.45,1282.83,1282.83,86266010000
"Jun 30, 2008",1276.69,1292.17,1200.44,1267.38,1267.38,124980570000
"May 31, 2008",1399.62,1404.05,1272,1280,1280,96614040000
"Apr 30, 2008",1385.97,1440.24,1373.07,1400.38,1400.38,80990480000
"Mar 31, 2008",1326.41,1404.57,1324.35,1385.59,1385.59,85978630000
"Mar 01, 2008",1330.45,1359.68,1256.98,1322.7,1322.7,93189170000
"Feb 01, 2008",1378.6,1396.02,1316.75,1330.63,1330.63,78536130000
"Jan 01, 2008",1467.97,1471.77,1270.05,1378.55,1378.55,98475340000
"Dec 01, 2007",1479.63,1523.57,1435.65,1468.36,1468.36,64821670000
"Oct 31, 2007",1545.79,1545.79,1406.1,1481.14,1481.14,86246950000
"Sep 30, 2007",1527.29,1576.09,1489.56,1549.38,1549.38,76022580000
"Aug 31, 2007",1473.96,1538.74,1439.29,1526.75,1526.75,57809700000
"Jul 31, 2007",1455.18,1503.89,1370.6,1473.99,1473.99,91381760000
"Jun 30, 2007",1504.66,1555.9,1454.25,1455.27,1455.27,70337430000
"May 31, 2007",1530.62,1540.56,1484.18,1503.35,1503.35,65322800000
